account_id,company,country,city,industry,employees,revenue_band,tech_signals,priority_tier
ACC-024,Alpenrose Tourismus AG,AT,Innsbruck,Hospitality,1100,€100M-250M,"seasonal onboarding at scale; language-diverse workforce",A
ACC-025,Grünwald Immobilien AG,AT,Vienna,Real Estate,380,€50M-100M,"regulatory training; scaling into DE; new People Ops Lead",C
ACC-026,Donaustahl Industrie AG,AT,Linz,Manufacturing,1600,€500M-1B,"uses SkillForge; safety + skills mandate; reorg into BUs",A
ACC-027,Bergkristall Pharma GmbH,AT,Graz,Pharma,780,€100M-250M,"GMP training; expansion into Spain announced; L&D Director hiring",A
ACC-028,Salzach Logistik GmbH,AT,Salzburg,Logistics,520,€50M-100M,"cross-border compliance; warehouse automation reskilling",C
ACC-029,Edelweiss Finanzdienste AG,AT,Vienna,Financial Services,890,€100M-250M,"FMA compliance findings; legacy LMS; new VP HR",A
ACC-030,Steirereck Lebensmittel GmbH,AT,Graz,Food & Beverage,450,€50M-100M,"food-safety training; frontline mobile learning gap",C
ACC-031,Tauern Energie AG,AT,Klagenfurt,Energy,700,€100M-250M,"grid-transition skills; hiring Head of Talent Development",B
ACC-032,Habsburg Versicherungsgruppe AG,AT,Vienna,Insurance,1300,€250M-500M,"agent training platform RFP; uses Traida bolt-on LMS",A
ACC-033,Wörthersee Hotels & Resorts AG,AT,Klagenfurt,Hospitality,820,€100M-250M,"high seasonal churn; onboarding pain; engagement-first culture",B
ACC-034,Kaiserblick Maschinen GmbH,AT,Wels,Engineering,590,€50M-100M,"apprenticeship digitalisation; family-owned; new CHRO",C
ACC-035,Matterhorn Präzision AG,CH,Zurich,Manufacturing,1250,€500M-1B,"multilingual DE/FR/IT training need; uses SkillForge; reorg",A
ACC-036,Helvetia Assurance Group AG,CH,Basel,Insurance,1900,€1B+,"FINMA compliance; three-language workforce; L&D Director open role",A
ACC-037,Rhône Biotech SA,CH,Geneva,Pharma,860,€100M-250M,"GxP + Swissmedic training; scaling into DACH; hiring L&D Manager",A
ACC-038,Bernina Präzisionstechnik AG,CH,Bern,MedTech,540,€100M-250M,"MDR/IVDR compliance; export training; low LMS adoption",B
ACC-039,Léman Logistics SA,CH,Lausanne,Logistics,470,€50M-100M,"customs + dangerous-goods certification; cross-border teams",C
ACC-040,Alpina Private Bank AG,CH,Zurich,Financial Services,720,€250M-500M,"wealth-advisor certification; uses Cognita content only",B
ACC-041,Gotthard Bau AG,CH,Lucerne,Construction,980,€100M-250M,"site-safety in 3 languages; distributed sites; no mobile LMS",B
ACC-042,Zürisee Detailhandel AG,CH,Zurich,Retail,1550,€500M-1B,"frontline reskilling; new Chief People Officer; omnichannel push",A
ACC-043,Emmental Nahrung AG,CH,Bern,Food & Beverage,610,€100M-250M,"food-safety + export compliance; family-to-corporate transition",C
ACC-044,Basilisk Chemie AG,CH,Basel,Chemicals,1400,€500M-1B,"REACH + Swiss compliance; reorg; uses SkillForge legacy",A
ACC-045,Jungfrau Tourismus AG,CH,Interlaken,Hospitality,690,€100M-250M,"seasonal multilingual onboarding; high turnover",B
ACC-046,Aargau Präzision GmbH,CH,Aarau,Engineering,430,€50M-100M,"Industry 4.0 grant; hiring L&D Manager; no formal L&D",C
ACC-047,Furka Energie AG,CH,Sion,Energy,560,€100M-250M,"hydro-transition reskilling; new People Ops Lead",C
ACC-048,Rigi Versicherung AG,CH,Lucerne,Insurance,1050,€250M-500M,"agent-network training; FINMA-driven; uses Traida",B
ACC-049,Säntis MedTech AG,CH,St. Gallen,MedTech,750,€100M-250M,"MDR compliance; export-heavy; L&D Director role open 90 days",A
ACC-050,Genève Consulting Partners SA,CH,Geneva,Professional Services,360,€50M-100M,"billable-hours training pressure; scaling into DE; no LMS",C
